2014-5-9,13:33:36,
TSL,SANTEC,TSL-510,13050006,0002.0082,
OPM,HEWLETT-PACKARD,HP8163A,DE38705993,V4.50(24037),
,Agilent Technologies,81619A,DE41201466,V4.01(1126),
,Agilent Technologies,81619A,DE38701300,V4.06(71686),
Start,1288.000000,nm
Stop,1300.000000,nm
Step,0.001000,nm
Speed,40.000000,nm/s
Source power,0.000000,dBm
Averaging Time,0.000100,s
Power range,0.0000,dBm
Wavelength(nm),Loss Slot1-Ch1(dB),
1288.37900000,-39.60481776,
1288.38000000,-39.40370179,
1288.38100000,-39.21167621,
1288.38200000,-39.02951916,
1288.38300000,-38.91426295,
1288.38400000,-38.91333005,
1288.38500000,-38.91486911,
1288.38600000,-38.91394451,
1288.38700000,-38.91447409,
1288.38800000,-38.91461191,
1288.38900000,-38.91485314,
1288.39000000,-38.91482883,
1288.39100000,-38.88086086,
1288.39200000,-38.71042051,
1288.39300000,-38.54776159,
1288.39400000,-38.39072405,
1288.39500000,-38.27107658,
1288.39600000,-38.42618105,
1288.39700000,-38.58471968,
1288.39800000,-38.75186936,
1288.39900000,-38.91239446,
1288.40000000,-38.74214893,
1288.40100000,-38.57743995,
1288.40200000,-38.41924644,
1288.40300000,-38.26731767,
1288.40400000,-38.40528766,
1288.40500000,-38.56330461,
1288.40600000,-38.72993989,
1288.40700000,-38.90083430,
1288.40800000,-39.07897311,
1288.40900000,-39.26690537,
1288.41000000,-39.45787929,
1288.41100000,-39.66201487,
1288.41200000,-39.54709295,
1288.41300000,-39.34830417,
1288.41400000,-39.16056563,
1288.41500000,-38.97949432,
1288.41600000,-38.80449876,
1288.41700000,-38.63858194,
1288.41800000,-38.47812606,
1288.41900000,-38.32311218,
1288.42000000,-38.35949518,
1288.42100000,-38.51748173,
1288.42200000,-38.67927395,
1288.42300000,-38.84843002,
1288.42400000,-38.83512365,
1288.42500000,-38.66627693,
1288.42600000,-38.50544222,
1288.42700000,-38.34771001,
1288.42800000,-38.13207467,
1288.42900000,-37.84823132,
1288.43000000,-37.58263545,
1288.43100000,-37.33304906,
1288.43200000,-37.27576963,
1288.43300000,-37.51995585,
1288.43400000,-37.78129780,
1288.43500000,-38.05905872,
1288.43600000,-38.17693380,
1288.43700000,-37.89154411,
1288.43800000,-37.62478275,
1288.43900000,-37.37066660,
1288.44000000,-37.18371752,
1288.44100000,-37.18321869,
1288.44200000,-37.18359747,
1288.44300000,-37.18261248,
1288.44400000,-37.22764718,
1288.44500000,-37.35574642,
1288.44600000,-37.48634697,
1288.44700000,-37.62231109,
1288.44800000,-37.83544603,
1288.44900000,-38.13745658,
1288.45000000,-38.45740398,
1288.45100000,-38.80301330,
1288.45200000,-38.57380947,
1288.45300000,-38.08955069,
1288.45400000,-37.65149052,
1288.45500000,-37.25540409,
1288.45600000,-37.18768713,
1288.45700000,-37.19007885,
1288.45800000,-37.19079335,
1288.45900000,-37.18973958,
1288.46000000,-37.31535161,
1288.46100000,-37.44505766,
1288.46200000,-37.57983421,
1288.46300000,-37.70078640,
1288.46400000,-37.70123905,
1288.46500000,-37.70269954,
1288.46600000,-37.70260328,
1288.46700000,-37.66443070,
1288.46800000,-37.52837136,
1288.46900000,-37.39665005,
1288.47000000,-37.26903583,
1288.47100000,-37.25179690,
1288.47200000,-37.37927427,
1288.47300000,-37.51139372,
1288.47400000,-37.64715139,
1288.47500000,-37.87181894,
1288.47600000,-38.17330799,
1288.47700000,-38.49660666,
1288.47800000,-38.84500418,
1288.47900000,-38.54614413,
1288.48000000,-38.06282742,
1288.48100000,-37.64648036,
1288.48200000,-37.26505994,
1288.48300000,-37.29411789,
1288.48400000,-37.41788932,
1288.48500000,-37.54603221,
1288.48600000,-37.67817591,
1288.48700000,-37.70318262,
1288.48800000,-37.70232001,
1288.48900000,-37.70245004,
1288.49000000,-37.70247148,
1288.49100000,-37.92559725,
1288.49200000,-38.21813991,
1288.49300000,-38.53316877,
1288.49400000,-38.87109753,
1288.49500000,-38.65944577,
1288.49600000,-38.33452029,
1288.49700000,-38.03528941,
1288.49800000,-37.75414591,
1288.49900000,-37.70322208,
1288.50000000,-37.70201612,
1288.50100000,-37.70249409,
1288.50200000,-37.70383344,
1288.50300000,-37.92819230,
1288.50400000,-38.22223288,
1288.50500000,-38.53639373,
1288.50600000,-38.87714394,
1288.50700000,-38.80150773,
1288.50800000,-38.63287439,
1288.50900000,-38.47044466,
1288.51000000,-38.31365291,
1288.51100000,-38.16174423,
1288.51200000,-38.01638753,
1288.51300000,-37.87406052,
1288.51400000,-37.73752806,
1288.51500000,-37.82173708,
1288.51600000,-37.96364486,
1288.51700000,-38.10844940,
1288.51800000,-38.25862600,
1288.51900000,-38.16473666,
1288.52000000,-38.01749548,
1288.52100000,-37.87509250,
1288.52200000,-37.73741119,
1288.52300000,-37.82421927,
1288.52400000,-37.96215393,
1288.52500000,-38.10763748,
1288.52600000,-38.25643900,
1288.52700000,-38.16189123,
1288.52800000,-38.01485224,
1288.52900000,-37.87120389,
1288.53000000,-37.73350611,
1288.53100000,-37.93206273,
1288.53200000,-38.22421698,
1288.53300000,-38.53856445,
1288.53400000,-38.87570857,
1288.53500000,-38.80024307,
1288.53600000,-38.62948105,
1288.53700000,-38.46612086,
1288.53800000,-38.30885247,
1288.53900000,-38.28016711,
1288.54000000,-38.28021321,
1288.54100000,-38.28056080,
1288.54200000,-38.27891075,
1288.54300000,-38.28012360,
1288.54400000,-38.28009527,
1288.54500000,-38.27897390,
1288.54600000,-38.28091093,
1288.54700000,-38.67012248,
1288.54800000,-39.20500696,
1288.54900000,-39.81817100,
1288.55000000,-40.52910573,
1288.55100000,-40.46761413,
1288.55200000,-40.22060579,
1288.55300000,-39.98773962,
1288.55400000,-39.76744456,
1288.55500000,-39.55660220,
1288.55600000,-39.35435052,
1288.55700000,-39.16304447,
1288.55800000,-38.98067354,
1288.55900000,-38.80428060,
1288.56000000,-38.63612013,
1288.56100000,-38.46190611,
1288.56200000,-38.29466250,
1288.56300000,-38.44683973,
1288.56400000,-38.62171923,
1288.56500000,-38.80133194,
1288.56600000,-38.90882522,
1288.56700000,-38.72339880,
1288.56800000,-38.54502049,
1288.56900000,-38.37384870,
1288.57000000,-38.44648545,
1288.57100000,-38.80149683,
1288.57200000,-39.18780946,
1288.57300000,-39.61088357,
1288.57400000,-39.40437677,
1288.57500000,-38.99785346,
1288.57600000,-38.62860347,
1288.57700000,-38.28477767,
1288.57800000,-38.45455867,
1288.57900000,-38.62818582,
1288.58000000,-38.80588216,
1288.58100000,-38.99734221,
1288.58200000,-39.19450268,
1288.58300000,-39.40315141,
1288.58400000,-39.62261668,
1288.58500000,-39.97561393,
1288.58600000,-40.48900024,
1288.58700000,-41.07248561,
1288.58800000,-41.74650086,
1288.58900000,-41.09488480,
1288.59000000,-40.24361246,
1288.59100000,-39.53250400,
1288.59200000,-38.95004444,
1288.59300000,-38.95081598,
1288.59400000,-38.95066998,
1288.59500000,-38.95169263,
1288.59600000,-38.95153139,
1288.59700000,-38.95246405,
1288.59800000,-38.95267117,
1288.59900000,-38.95504953,
1288.60000000,-38.84760578,
1288.60100000,-38.68074915,
1288.60200000,-38.52262254,
1288.60300000,-38.36897505,
1288.60400000,-38.44765556,
1288.60500000,-38.76828540,
1288.60600000,-39.11545457,
1288.60700000,-39.49132551,
1288.60800000,-39.66189185,
1288.60900000,-39.46329735,
1288.61000000,-39.27137322,
1288.61100000,-39.09195699,
1288.61200000,-39.05182893,
1288.61300000,-39.42057479,
1288.61400000,-39.82620215,
1288.61500000,-40.27005720,
1288.61600000,-40.73143420,
1288.61700000,-40.99973942,
1288.61800000,-41.28683840,
1288.61900000,-41.59311778,
1288.62000000,-41.91893981,
1288.62100000,-41.92033441,
1288.62200000,-41.91984968,
1288.62300000,-41.91956739,
1288.62400000,-41.91994101,
1288.62500000,-42.57309656,
1288.62600000,-43.45457442,
1288.62700000,-44.55901442,
1288.62800000,-46.04534260,
1288.62900000,-45.19915228,
1288.63000000,-43.94241237,
1288.63100000,-42.96774920,
1288.63200000,-42.17150922,
1288.63300000,-41.70373369,
1288.63400000,-41.39060626,
1288.63500000,-41.09668029,
1288.63600000,-40.82275907,
1288.63700000,-40.69632348,
1288.63800000,-40.69682730,
1288.63900000,-40.69494317,
1288.64000000,-40.69565949,
1288.64100000,-40.69546667,
1288.64200000,-40.69711353,
1288.64300000,-40.69776233,
1288.64400000,-40.69720996,
1288.64500000,-40.69749699,
1288.64600000,-40.69757082,
1288.64700000,-40.69752523,
1288.64800000,-40.69763333,
1288.64900000,-40.82341526,
1288.65000000,-41.39721392,
1288.65100000,-42.05952122,
1288.65200000,-42.83974421,
1288.65300000,-43.47722240,
1288.65400000,-42.58401141,
1288.65500000,-41.84628508,
1288.65600000,-41.21501395,
1288.65700000,-40.70176616,
1288.65800000,-40.70232707,
1288.65900000,-40.70206523,
1288.66000000,-40.70256425,
1288.66100000,-40.70250686,
1288.66200000,-40.96993334,
1288.66300000,-41.25635430,
1288.66400000,-41.56387036,
1288.66500000,-41.89444967,
1288.66600000,-42.25311769,
1288.66700000,-42.64328151,
1288.66800000,-43.07137519,
1288.66900000,-43.54738043,
1288.67000000,-42.51823755,
1288.67100000,-41.46837372,
1288.67200000,-40.62206483,
1288.67300000,-39.91534199,
1288.67400000,-40.07634194,
1288.67500000,-40.55384008,
1288.67600000,-41.08943538,
1288.67700000,-41.70088221,
1288.67800000,-42.16270608,
1288.67900000,-42.54334818,
1288.68000000,-42.96328693,
1288.68100000,-43.42545268,
1288.68200000,-43.63706946,
1288.68300000,-43.63483847,
1288.68400000,-43.63527652,
1288.68500000,-43.63445032,
1288.68600000,-43.38537633,
1288.68700000,-42.92515126,
1288.68800000,-42.51048697,
1288.68900000,-42.13166936,
1288.69000000,-41.64592454,
1288.69100000,-41.04116690,
1288.69200000,-40.50975611,
1288.69300000,-40.03533014,
1288.69400000,-39.82067265,
1288.69500000,-40.03875396,
1288.69600000,-40.26779020,
1288.69700000,-40.51177333,
1288.69800000,-40.70008865,
1288.69900000,-40.70079143,
1288.70000000,-40.70297601,
1288.70100000,-40.70131800,
1288.70200000,-40.70208864,
1288.70300000,-40.70234329,
1288.70400000,-40.70180731,
1288.70500000,-40.70158626,
1288.70600000,-40.67902504,
1288.70700000,-40.42654416,
1288.70800000,-40.18885616,
1288.70900000,-39.96205524,
1288.71000000,-39.75739544,
1288.71100000,-40.43927013,
1288.71200000,-41.24563932,
1288.71300000,-42.24056643,
1288.71400000,-43.53018943,
1288.71500000,-42.40219298,
1288.71600000,-41.37750841,
1288.71700000,-40.54832925,
1288.71800000,-39.85148289,
1288.71900000,-39.75633205,
1288.72000000,-39.75800345,
1288.72100000,-39.75850241,
1288.72200000,-39.75779130,
1288.72300000,-39.93506870,
1288.72400000,-40.16426931,
1288.72500000,-40.40518487,
1288.72600000,-40.66271718,
1288.72700000,-40.70937745,
1288.72800000,-40.71118769,
1288.72900000,-40.71132408,
1288.73000000,-40.71116619,
1288.73100000,-40.29963387,
1288.73200000,-39.84001925,
1288.73300000,-39.42446959,
1288.73400000,-39.04405793,
1288.73500000,-39.43440058,
1288.73600000,-40.07318019,
1288.73700000,-40.82648042,
1288.73800000,-41.73602185,
1288.73900000,-41.65649153,
1288.74000000,-41.33624626,
1288.74100000,-41.03819318,
1288.74200000,-40.76085838,
1288.74300000,-40.93108515,
1288.74400000,-41.22228610,
1288.74500000,-41.53200673,
1288.74600000,-41.86499313,
1288.74700000,-41.39427287,
1288.74800000,-40.81250758,
1288.74900000,-40.29890928,
1288.75000000,-39.83745030,
1288.75100000,-39.93345330,
1288.75200000,-40.16159768,
1288.75300000,-40.40467546,
1288.75400000,-40.65922713,
1288.75500000,-40.29836594,
1288.75600000,-39.83868439,
1288.75700000,-39.42351645,
1288.75800000,-39.04629254,
1288.75900000,-39.12594285,
1288.76000000,-39.31513298,
1288.76100000,-39.52607332,
1288.76200000,-39.75109181,
1288.76300000,-40.47216196,
1288.76400000,-41.36855838,
1288.76500000,-42.49674988,
1288.76600000,-43.52936299,
1288.76700000,-43.01728132,
1288.76800000,-42.55950902,
1288.76900000,-42.14504311,
1288.77000000,-41.59617914,
1288.77100000,-40.95125889,
1288.77200000,-40.38800849,
1288.77300000,-39.88953361,
1288.77400000,-39.76803543,
1288.77500000,-39.76772306,
1288.77600000,-39.76861252,
1288.77700000,-39.76710935,
1288.77800000,-39.76648732,
1288.77900000,-39.76691654,
1288.78000000,-39.76539233,
1288.78100000,-39.82643779,
1288.78200000,-40.06400982,
1288.78300000,-40.31598186,
1288.78400000,-40.58439903,
1288.78500000,-40.86845409,
1288.78600000,-41.17396845,
1288.78700000,-41.50302131,
